Year,First Name,Ethnicity,Sex,Count
2011,ABIGAIL,ASIAN AND PACIFIC ISLANDER,FEMALE,24
2011,ABIGAIL,ASIAN AND PACIFIC ISLANDER,FEMALE,24
2011,ABIGAIL,ASIAN AND PACIFIC ISLANDER,FEMALE,24
2011,ADA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,ADA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,ADA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,AISHA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,AISHA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,AISHA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,AIZA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,AIZA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,AIZA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ALEENA,ASIAN AND PACIFIC ISLANDER,FEMALE,12
2011,ALEENA,ASIAN AND PACIFIC ISLANDER,FEMALE,12
2011,ALEENA,ASIAN AND PACIFIC ISLANDER,FEMALE,12
2011,ALEXA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ALEXA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ALEXA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ALEXANDRA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,ALEXANDRA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,ALEXANDRA,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,ALICE,ASIAN AND PACIFIC ISLANDER,FEMALE,27
2011,ALICE,ASIAN AND PACIFIC ISLANDER,FEMALE,27
2011,ALICE,ASIAN AND PACIFIC ISLANDER,FEMALE,27
2011,ALINA,ASIAN AND PACIFIC ISLANDER,FEMALE,25
2011,ALINA,ASIAN AND PACIFIC ISLANDER,FEMALE,25
2011,ALINA,ASIAN AND PACIFIC ISLANDER,FEMALE,25
2011,ALISHA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ALISHA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ALISHA,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ALIYAH,ASIAN AND PACIFIC ISLANDER,FEMALE,12
2011,ALIYAH,ASIAN AND PACIFIC ISLANDER,FEMALE,12
2011,ALIYAH,ASIAN AND PACIFIC ISLANDER,FEMALE,12
2011,ALLISON,ASIAN AND PACIFIC ISLANDER,FEMALE,17
2011,ALLISON,ASIAN AND PACIFIC ISLANDER,FEMALE,17
2011,ALLISON,ASIAN AND PACIFIC ISLANDER,FEMALE,17
2011,ALYSSA,ASIAN AND PACIFIC ISLANDER,FEMALE,26
2011,ALYSSA,ASIAN AND PACIFIC ISLANDER,FEMALE,26
2011,ALYSSA,ASIAN AND PACIFIC ISLANDER,FEMALE,26
2011,AMANDA,ASIAN AND PACIFIC ISLANDER,FEMALE,22
2011,AMANDA,ASIAN AND PACIFIC ISLANDER,FEMALE,22
2011,AMANDA,ASIAN AND PACIFIC ISLANDER,FEMALE,22
2011,AMBER,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,AMBER,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,AMBER,ASIAN AND PACIFIC ISLANDER,FEMALE,13
2011,AMELIA,ASIAN AND PACIFIC ISLANDER,FEMALE,14
2011,AMELIA,ASIAN AND PACIFIC ISLANDER,FEMALE,14
2011,AMELIA,ASIAN AND PACIFIC ISLANDER,FEMALE,14
2011,AMY,ASIAN AND PACIFIC ISLANDER,FEMALE,24
2011,AMY,ASIAN AND PACIFIC ISLANDER,FEMALE,24
2011,AMY,ASIAN AND PACIFIC ISLANDER,FEMALE,24
2011,ANGEL,ASIAN AND PACIFIC ISLANDER,FEMALE,22
2011,ANGEL,ASIAN AND PACIFIC ISLANDER,FEMALE,22
2011,ANGEL,ASIAN AND PACIFIC ISLANDER,FEMALE,22
2011,ANGELA,ASIAN AND PACIFIC ISLANDER,FEMALE,47
2011,ANGELA,ASIAN AND PACIFIC ISLANDER,FEMALE,47
2011,ANGELA,ASIAN AND PACIFIC ISLANDER,FEMALE,47
2011,ANGELINA,ASIAN AND PACIFIC ISLANDER,FEMALE,26
2011,ANGELINA,ASIAN AND PACIFIC ISLANDER,FEMALE,26
2011,ANGELINA,ASIAN AND PACIFIC ISLANDER,FEMALE,26
2011,ANGIE,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ANGIE,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ANGIE,ASIAN AND PACIFIC ISLANDER,FEMALE,10
2011,ANIKA,ASIAN AND PACIFIC ISLANDER,FEMALE,14
2011,ANIKA,ASIAN AND PACIFIC ISLANDER,FEMALE,14
2011,ANIKA,ASIAN AND PACIFIC ISLANDER,FEMALE,14
2011,ANNA,ASIAN AND PACIFIC ISLANDER,FEMALE,30
2011,ANNA,ASIAN AND PACIFIC ISLANDER,FEMALE,30
2011,ANNA,ASIAN AND PACIFIC ISLANDER,FEMALE,30
